"54","ECE","ENGG-3","MINOR","OC Opticalfiber Communication","CS,CH,CE,EC,ME,MM"
"55","ECE","ENGG-4","MINOR","SC - Satellite Communication","CS,CH,CE,EC,ME,MM"
"56","ECE","ENGG-4","MINOR","WC - Wireless Communication","CS,CH,CE,EC,ME,MM"
"57","TELUGU","ENGG-4","MINOR","ES - Embeded Systems","CS,CH,CE,EC,ME,MM"
"58","TELUGU","ENGG-3","MINOR","Praacheena Saahitya Prakriyala Parichayam","CS,CH,CE,EC,ME,MM"
"59","TELUGU","ENGG-3","MINOR","Anuvaadam","CS,CH,CE,EC,ME,MM"
"60","TELUGU","ENGG-4","MINOR","Vachana Saahitya Prakriyala Parichayam","CS,CH,CE,EC,ME,MM"
"61","TELUGU","ENGG-4","MINOR","Bhaasha Shaastram","CS,CH,CE,EC,ME,MM"
"62","TELUGU","ENGG-4","MINOR","Telugu Kavitvodhyamaalu - dhoranalu","CS,CH,CE,EC,ME,MM"
"63","ENGLISH","ENGG-3","MINOR","Business Etiquette & Grooming","CS,CH,CE,EC,ME,MM"
"64","ENGLISH","ENGG-3","MINOR","Workplace Communication","CS,CH,CE,EC,ME,MM"
"65","ENGLISH","ENGG-4","MINOR","English for Competetive Exams","CS,CH,CE,EC,ME,MM"
"66","ENGLISH","ENGG-4","MINOR","Film Review","CS,CH,CE,EC,ME,MM"
"67","ENGLISH","ENGG-4","MINOR","Inspiring Lives","CS,CH,CE,EC,ME,MM"
"68","ENGLISH","ENGG-4","MINOR","Prose","CS,CH,CE,EC,ME,MM"
"69","ENGLISH","ENGG-4","MINOR","Drama","CS,CH,CE,EC,ME,MM"
"70","ENGLISH","ENGG-4","MINOR","Poetry","CS,CH,CE,EC,ME,MM"
"71","ENGLISH","ENGG-4","MINOR","Short Stories","CS,CH,CE,EC,ME,MM"
"72","MANAGEMENT","ENGG-3","MINOR","BOM","CS,CH,CE"
