TELUGU,ENGG-4,MINOR,ES - Embeded Systems,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-3,MINOR,Praacheena Saahitya Prakriyala Parichayam,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-3,MINOR,Anuvaadam,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,Vachana Saahitya Prakriyala Parichayam,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,Bhaasha Shaastram,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,Telugu Kavitvodhyamaalu - dhoranalu,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-3,MINOR,Business Etiquette & Grooming,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-3,MINOR,Workplace Communication,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,English for Competetive Exams,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Film Review,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Inspiring Lives,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Prose,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Drama,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Poetry,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Short Stories,"CS,CH,CE,EC,ME,MM"
MANAGEMENT,ENGG-3,MINOR,BOM,"CS,CH,CE"
,,,,
,,,,
,,,,
,,,,
